# Derived from @webref/elements 2.8.0; see README.md for provenance and update policy.
# Obsolete elements whose Webref href targets obsolete.html are excluded.
name	kind	interface	specification
html	NORMAL	HTMLHtmlElement	https://html.spec.whatwg.org/multipage/semantics.html#the-html-element
head	NORMAL	HTMLHeadElement	https://html.spec.whatwg.org/multipage/semantics.html#the-head-element
title	ESCAPABLE_RAW_TEXT	HTMLTitleElement	https://html.spec.whatwg.org/multipage/semantics.html#the-title-element
base	VOID	HTMLBaseElement	https://html.spec.whatwg.org/multipage/semantics.html#the-base-element
link	VOID	HTMLLinkElement	https://html.spec.whatwg.org/multipage/semantics.html#the-link-element
meta	VOID	HTMLMetaElement	https://html.spec.whatwg.org/multipage/semantics.html#meta
style	RAW_TEXT	HTMLStyleElement	https://html.spec.whatwg.org/multipage/semantics.html#the-style-element
body	NORMAL	HTMLBodyElement	https://html.spec.whatwg.org/multipage/sections.html#the-body-element
article	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-article-element
section	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-section-element
nav	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-nav-element
aside	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-aside-element
h1	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h1-element
h2	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h2-element
h3	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h3-element
h4	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h4-element
h5	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h5-element
h6	NORMAL	HTMLHeadingElement	https://html.spec.whatwg.org/multipage/sections.html#the-h6-element
hgroup	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-hgroup-element
header	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-header-element
footer	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-footer-element
address	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/sections.html#the-address-element
p	NORMAL	HTMLParagraphElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-p-element
hr	VOID	HTMLHRElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-hr-element
pre	NORMAL	HTMLPreElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-pre-element
blockquote	NORMAL	HTMLQuoteElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-blockquote-element
ol	NORMAL	HTMLOListElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-ol-element
ul	NORMAL	HTMLUListElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-ul-element
menu	NORMAL	HTMLMenuElement	https://html.spec.whatwg.org/multipage/grouping-content.html#menus
li	NORMAL	HTMLLIElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-li-element
dl	NORMAL	HTMLDListElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-dl-element
dt	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-dt-element
dd	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-dd-element
figure	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-figure-element
figcaption	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-figcaption-element
main	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-main-element
search	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-search-element
div	NORMAL	HTMLDivElement	https://html.spec.whatwg.org/multipage/grouping-content.html#the-div-element
a	NORMAL	HTMLAnchorElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-a-element
em	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-em-element
strong	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-strong-element
small	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-small-element
s	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-s-element
cite	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-cite-element
q	NORMAL	HTMLQuoteElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-q-element
dfn	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-dfn-element
abbr	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-abbr-element
ruby	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-ruby-element
rt	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-rt-element
rp	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-rp-element
data	NORMAL	HTMLDataElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-data-element
time	NORMAL	HTMLTimeElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-time-element
code	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-code-element
var	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-var-element
samp	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-samp-element
kbd	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-kbd-element
sub	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-sub-element
sup	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-sup-element
i	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-i-element
b	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-b-element
u	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-u-element
mark	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-mark-element
bdi	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdi-element
